,repId,leg,firstName,lastName,type,district,party,gender,biennium,startDate,endDate
77,27975_17,65,Javier,Valdez,rep,46,D,M,2017-18,6/12/2017,NA
78,8222_15,64,Ross,Hunter,rep,48,D,M,2015-16,NA,8/31/2015
79,21520_15,64,Patty,Kuderer,rep,48,D,F,2015-16,9/23/2015,NA
80,20754_15,64,Joan,McBride,rep,48,D,F,2015-16,NA,NA
81,10041_17,65,Joel,Kretz,rep,7,R,M,2017-18,NA,NA
82,14115_17,65,Jacquelin,Maycumber,rep,7,R,F,2017-18,2/2/2017,NA
83,11952_17,65,Shelly,Short,rep,7,R,F,2017-18,NA,2/1/2017
84,21490_15,64,Mary,Dye,rep,9,R,F,2015-16,5/8/2015,NA
85,15098_15,64,Susan,Fagan,rep,9,R,F,2015-16,NA,4/30/2015
86,13209_15,64,Joe,Schmick,rep,9,R,M,2015-16,NA,NA
