biennium,committee,name,isChair,isVice,
2001-02,House Committee on Agriculture & Ecology,Kelli Linville,1,,
2001-02,House Committee on Agriculture & Ecology,Sam Hunt,,,
2001-02,House Committee on Agriculture & Ecology,Mark Schoesler,,,
2001-02,House Committee on Agriculture & Ecology,Bruce Chandler,1,,
2001-02,House Committee on Agriculture & Ecology,Mike Cooper,,0,
2001-02,House Committee on Agriculture & Ecology,Jerome Delvin,,,
2001-02,House Committee on Agriculture & Ecology,Hans Dunshee,,,
2001-02,House Committee on Agriculture & Ecology,Bill Grant,,,
2001-02,House Committee on Agriculture & Ecology,Jane'a Holmquist,,,
2001-02,House Committee on Agriculture & Ecology,Steve Kirby,,,
2001-02,House Committee on Agriculture & Ecology,Dave Quall,,,
2001-02,House Committee on Agriculture & Ecology,Dan Roach,,,
2001-02,House Committee on Agriculture & Ecology,Bob Sump,,,
2001-02,House Committee on Appropriations,Helen Sommers,1,,
2001-02,House Committee on Appropriations,Mark Doumit,,1,
2001-02,House Committee on Appropriations,Mark Doumit,,1,
2001-02,House Committee on Appropriations,Bill Fromhold,,,
2001-02,House Committee on Appropriations,Barry Sehlin,1,,
2001-02,House Committee on Appropriations,Gary Alexander,,,
2001-02,House Committee on Appropriations,Marc Boldt,,,
2001-02,House Committee on Appropriations,Jim Buck,,,
2001-02,House Committee on Appropriations,Jim Clements,,,
2001-02,House Committee on Appropriations,Eileen Cody,,,
2001-02,House Committee on Appropriations,Don Cox,,,
2001-02,House Committee on Appropriations,Hans Dunshee,,,
2001-02,House Committee on Appropriations,Bill Grant,,,
2001-02,House Committee on Appropriations,Ruth Kagi,,,
2001-02,House Committee on Appropriations,Karen Keiser,,,
2001-02,House Committee on Appropriations,Phyllis Kenney,,,
2001-02,House Committee on Appropriations,Lynn Kessler,,,
2001-02,House Committee on Appropriations,Kelli Linville,,,
2001-02,House Committee on Appropriations,Barbara Lisk,,,
2001-02,House Committee on Appropriations,Dave Mastin,,,
2001-02,House Committee on Appropriations,Jim McIntire,,,
2001-02,House Committee on Appropriations,Kirk Pearson,,,
2001-02,House Committee on Appropriations,Cheryl Pflug,,,
2001-02,House Committee on Appropriations,Laura Ruderman,,,
2001-02,House Committee on Appropriations,Shay Schual-Berke,,,
2001-02,House Committee on Appropriations,Gigi Talcott,,,
2001-02,House Committee on Appropriations,Kip Tokuda,,,
2001-02,House Committee on Capital Budget,Ed Murray,1,,
2001-02,House Committee on Capital Budget,Jim McIntire,,1,
2001-02,House Committee on Capital Budget,Gary Alexander,1,,
2001-02,House Committee on Capital Budget,Mike Armstrong,,1,
2001-02,House Committee on Capital Budget,Roger Bush,,,
2001-02,House Committee on Capital Budget,Sarah Casada,,,
2001-02,House Committee on Capital Budget,Maralyn Chase,,,
2001-02,House Committee on Capital Budget,Luke Esser,,1,
2001-02,House Committee on Capital Budget,Shirley Hankins,,,
2001-02,House Committee on Capital Budget,Sam Hunt,,,
2001-02,House Committee on Capital Budget,Patricia Lantz,,,
2001-02,House Committee on Capital Budget,Al O'Brien,,,
2001-02,House Committee on Capital Budget,Val Ogden,,,
2001-02,House Committee on Capital Budget,Erik Poulsen,,,
2001-02,House Committee on Capital Budget,Aaron Reardon,,,
2001-02,House Committee on Capital Budget,Mark Schoesler,,,
2001-02,House Committee on Capital Budget,Velma Veloria,,,
2001-02,House Committee on Capital Budget,Beverly Woods,,,
2001-02,House Committee on Children & Family Services,Kip Tokuda,1,,
2001-02,House Committee on Children & Family Services,Ruth Kagi,,1,
2001-02,House Committee on Children & Family Services,Marc Boldt,1,,
2001-02,House Committee on Children & Family Services,Jeannie Darneille,,,
2001-02,House Committee on Children & Family Services,Mary Lou Dickerson,,,
2001-02,House Committee on Children & Family Services,Mark Miloscia,,,
2001-02,House Committee on Children & Family Services,Dave Morell,,1,
2001-02,House Committee on Commerce & Labor,Steve Conway,1,,
2001-02,House Committee on Commerce & Labor,Alex Wood,,1,
2001-02,House Committee on Commerce & Labor,Jim Clements,1,,
2001-02,House Committee on Commerce & Labor,Bruce Chandler,,1,
2001-02,House Committee on Commerce & Labor,Larry Crouse,,,
2001-02,House Committee on Commerce & Labor,Jane'a Holmquist,,,
2001-02,House Committee on Commerce & Labor,Phyllis Kenney,,,
2001-02,House Committee on Commerce & Labor,Toni Lysen,,,
2001-02,House Committee on Criminal Justice & Corrections,Al O'Brien,,1,
2001-02,House Committee on Criminal Justice & Corrections,John Lovick,,,1
2001-02,House Committee on Criminal Justice & Corrections,Ida Ballasiotes,,1,
2001-02,House Committee on Criminal Justice & Corrections,John Ahern,,,1
2001-02,House Committee on Criminal Justice & Corrections,Ruth Kagi,,,
2001-02,House Committee on Criminal Justice & Corrections,Dave Morell,,,
2001-02,House Committee on Education,Dave Quall,1,,
2001-02,House Committee on Education,Kathy Haigh,,1,
2001-02,House Committee on Education,Gigi Talcott,1,,
2001-02,House Committee on Education,Glenn Anderson,,1,
2001-02,House Committee on Education,Don Cox,,,
2001-02,House Committee on Education,Karen Keiser,,,
2001-02,House Committee on Education,Joe McDermott,,,
2001-02,House Committee on Education,Phil Rockefeller,,,
2001-02,House Committee on Education,Sharon Tomiko Santos,,,
2001-02,House Committee on Education,Dave Schmidt,,,
2001-02,House Committee on Education,Dave Upthegrove,,,
2001-02,House Committee on Finance,Jeff Gombosky,,,
2001-02,House Committee on Finance,Jean Berkey,,1,
2001-02,House Committee on Finance,Jack Cairnes,1,,
2001-02,House Committee on Finance,Steve Conway,1,,
2001-02,House Committee on Finance,Jeff Morris,,,
2001-02,House Committee on Finance,Toby Nixon,,,
2001-02,House Committee on Finance,Ed Orcutt,,,
2001-02,House Committee on Finance,Dan Roach,,1,
2001-02,House Committee on Finance,Sharon Tomiko Santos,,,
2001-02,House Committee on Finance,Steve Van Luven,,,
2001-02,House Committee on Finance,Velma Veloria,,,
2001-02,House Committee on Financial Institutions & Insurance,Mike Cooper,,,
2001-02,House Committee on Financial Institutions & Insurance,Jim McIntire,,1,
2001-02,House Committee on Financial Institutions & Insurance,Brad Benson,1,,
2001-02,House Committee on Financial Institutions & Insurance,Kelly Barlean,,,
2001-02,House Committee on Financial Institutions & Insurance,Jack Cairnes,,,
2001-02,House Committee on Financial Institutions & Insurance,Brian Hatfield,1,,
2001-02,House Committee on Financial Institutions & Insurance,Karen Keiser,,,
2001-02,House Committee on Financial Institutions & Insurance,Tom Mielke,,,
2001-02,House Committee on Financial Institutions & Insurance,Mark Miloscia,,,
2001-02,House Committee on Financial Institutions & Insurance,Dan Roach,,,
2001-02,House Committee on Financial Institutions & Insurance,Sharon Tomiko Santos,,,
2001-02,House Committee on Financial Institutions & Insurance,Geoff Simpson,,,
2001-02,House Committee on Health Care,Eileen Cody,1,,
2001-02,House Committee on Health Care,Shay Schual-Berke,,1,
2001-02,House Committee on Health Care,Tom Campbell,1,,
2001-02,House Committee on Health Care,Gary Alexander,,,
2001-02,House Committee on Health Care,Ida Ballasiotes,,,
2001-02,House Committee on Health Care,Brad Benson,,,
2001-02,House Committee on Health Care,Steve Conway,,,
2001-02,House Committee on Health Care,Jeannie Darneille,,,
2001-02,House Committee on Health Care,Jeanne Edwards,,,
2001-02,House Committee on Health Care,Laura Ruderman,,,
2001-02,House Committee on Health Care,Mary Skinner,,1,
2001-02,House Committee on Higher Education,Phyllis Kenney,1,,
2001-02,House Committee on Higher Education,Bill Fromhold,,,
2001-02,House Committee on Higher Education,Don Cox,1,,
2001-02,House Committee on Higher Education,Maralyn Chase,,,
2001-02,House Committee on Higher Education,Jim Dunn,,,
2001-02,House Committee on Higher Education,Jeff Gombosky,,1,
2001-02,House Committee on Higher Education,Fred Jarrett,,1,
2001-02,House Committee on Higher Education,Patricia Lantz,,,
2001-02,House Committee on Higher Education,Mary Skinner,,,
2001-02,House Committee on Judiciary,Patricia Lantz,1,,
2001-02,House Committee on Judiciary,Christopher Hurst,,1,
2001-02,House Committee on Judiciary,Mike Carrell,1,,
2001-02,House Committee on Judiciary,Marc Boldt,,,
2001-02,House Committee on Judiciary,Mary Lou Dickerson,,,
2001-02,House Committee on Judiciary,Luke Esser,,,
2001-02,House Committee on Judiciary,Fred Jarrett,,,
2001-02,House Committee on Judiciary,John Lovick,,,
2001-02,House Committee on Judiciary,Toni Lysen,,,
2001-02,House Committee on Juvenile Justice & Family Law,Mary Lou Dickerson,1,,
2001-02,House Committee on Juvenile Justice & Family Law,Jeannie Darneille,,,
2001-02,House Committee on Juvenile Justice & Family Law,Jerome Delvin,1,,
2001-02,House Committee on Juvenile Justice & Family Law,Mike Armstrong,,,
2001-02,House Committee on Juvenile Justice & Family Law,Mike Carrell,,,
2001-02,House Committee on Juvenile Justice & Family Law,"William ""Ike"" Eickmeyer",,1,
2001-02,House Committee on Juvenile Justice & Family Law,Kip Tokuda,,,
2001-02,House Committee on Local Government & Housing,Hans Dunshee,1,,
2001-02,House Committee on Local Government & Housing,Jeanne Edwards,,1,
2001-02,House Committee on Local Government & Housing,Joyce Mulliken,1,,
2001-02,House Committee on Local Government & Housing,Jean Berkey,,,
2001-02,House Committee on Local Government & Housing,Larry Crouse,,,
2001-02,House Committee on Local Government & Housing,Richard DeBolt,,,
2001-02,House Committee on Local Government & Housing,Jim Dunn,,,
2001-02,House Committee on Local Government & Housing,Brian Hatfield,,,
2001-02,House Committee on Local Government & Housing,Steve Kirby,,,
2001-02,House Committee on Local Government & Housing,Tom Mielke,,1,
2001-02,House Committee on Local Government & Housing,Brian Sullivan,,,
2001-02,House Committee on Natural Resources,Mark Doumit,1,,
2001-02,House Committee on Natural Resources,Mark Doumit,1,,
2001-02,House Committee on Natural Resources,Phil Rockefeller,,1,
2001-02,House Committee on Natural Resources,Bob Sump,1,,
2001-02,House Committee on Natural Resources,Jim Buck,,,
2001-02,House Committee on Natural Resources,"William ""Ike"" Eickmeyer",,,
2001-02,House Committee on Natural Resources,Doug Ericksen,,,
2001-02,House Committee on Natural Resources,Brock Jackley,,,
2001-02,House Committee on Natural Resources,Joe McDermott,,,
2001-02,House Committee on Natural Resources,Ed Orcutt,,,
2001-02,House Committee on Natural Resources,Kirk Pearson,,1,
2001-02,House Committee on Natural Resources,Dave Upthegrove,,,
2001-02,House Committee on Rules,Frank Chopp,1,,
2001-02,House Committee on Rules,Clyde Ballard,1,,
2001-02,House Committee on Rules,Jim Buck,,,
2001-02,House Committee on Rules,Roger Bush,,,
2001-02,House Committee on Rules,Richard DeBolt,,,
2001-02,House Committee on Rules,Hans Dunshee,,,
2001-02,House Committee on Rules,"William ""Ike"" Eickmeyer",,,
2001-02,House Committee on Rules,Bill Grant,,,
2001-02,House Committee on Rules,Kathy Haigh,,,
2001-02,House Committee on Rules,Shirley Hankins,,,
2001-02,House Committee on Rules,Brian Hatfield,,,
2001-02,House Committee on Rules,Christopher Hurst,,,
2001-02,House Committee on Rules,Lynn Kessler,,,
2001-02,House Committee on Rules,Steve Kirby,,,
2001-02,House Committee on Rules,Barbara Lisk,,,
2001-02,House Committee on Rules,Dave Mastin,,,
2001-02,House Committee on Rules,Joyce Mulliken,,,
2001-02,House Committee on Rules,Val Ogden,,,
2001-02,House Committee on Rules,Erik Poulsen,,,
2001-02,House Committee on Rules,Aaron Reardon,,,
2001-02,House Committee on Rules,Sharon Tomiko Santos,,,
2001-02,House Committee on Rules,Beverly Woods,,,
2001-02,House Committee on Select Committee on Community Security,Christopher Hurst,,,
2001-02,House Committee on Select Committee on Community Security,Geoff Simpson,,,
2001-02,House Committee on Select Committee on Community Security,Barbara Lisk,,,
2001-02,House Committee on Select Committee on Community Security,Ida Ballasiotes,,,
2001-02,House Committee on Select Committee on Community Security,Kelly Barlean,,,
2001-02,House Committee on Select Committee on Community Security,Brad Benson,,,
2001-02,House Committee on Select Committee on Community Security,Jim Buck,,,
2001-02,House Committee on Select Committee on Community Security,Tom Campbell,,,
2001-02,House Committee on Select Committee on Community Security,Kathy Haigh,,,
2001-02,House Committee on Select Committee on Community Security,Brock Jackley,,,
2001-02,House Committee on Select Committee on Community Security,Lynn Kessler,,,
2001-02,House Committee on Select Committee on Community Security,Jeff Morris,,,
2001-02,House Committee on Select Committee on Community Security,Al O'Brien,,,
2001-02,House Committee on Select Committee on Community Security,Dave Schmidt,,,
2001-02,House Committee on Select Committee on Community Security,Shay Schual-Berke,,,
2001-02,House Committee on State Government,Sandra Romero,1,,
2001-02,House Committee on State Government,Mark Miloscia,,1,
2001-02,House Committee on State Government,Cathy McMorris,1,,
2001-02,House Committee on State Government,Joe McDermott,,,
2001-02,House Committee on State Government,Lynn Schindler,,1,
2001-02,House Committee on State Government,Dave Schmidt,,,
2001-02,House Committee on State Government,Dave Upthegrove,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Jeff Morris,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Erik Poulsen,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Laura Ruderman,,1,
2001-02,"House Committee on Technology, Telecommunications & Energy",Larry Crouse,1,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Glenn Anderson,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Jean Berkey,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Roger Bush,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Sarah Casada,,1,
2001-02,"House Committee on Technology, Telecommunications & Energy",Richard DeBolt,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Jerome Delvin,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Luke Esser,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Sam Hunt,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Kelli Linville,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Toni Lysen,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Toby Nixon,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Cheryl Pflug,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Aaron Reardon,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Sandra Romero,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Brian Sullivan,,,
2001-02,"House Committee on Technology, Telecommunications & Energy",Alex Wood,,,
2001-02,House Committee on Trade & Economic Development,Velma Veloria,1,,
2001-02,House Committee on Trade & Economic Development,"William ""Ike"" Eickmeyer",,1,
2001-02,House Committee on Trade & Economic Development,Steve Van Luven,1,,
2001-02,House Committee on Trade & Economic Development,John Ahern,,,
2001-02,House Committee on Trade & Economic Development,Maralyn Chase,,,
2001-02,House Committee on Trade & Economic Development,Jim Dunn,,1,
2001-02,House Committee on Trade & Economic Development,Bill Fromhold,,1,
2001-02,House Committee on Trade & Economic Development,Jeff Gombosky,,,
2001-02,House Committee on Trade & Economic Development,Joyce Mulliken,,,
2001-02,House Committee on Transportation,Ruth Fisher,1,,
2001-02,House Committee on Transportation,Mike Cooper,,1,
2001-02,House Committee on Transportation,John Lovick,,1,
2001-02,House Committee on Transportation,Maryann Mitchell,1,,
2001-02,House Committee on Transportation,Glenn Anderson,,,
2001-02,House Committee on Transportation,Mike Armstrong,,,
2001-02,House Committee on Transportation,Jeanne Edwards,,,
2001-02,House Committee on Transportation,Doug Ericksen,,1,
2001-02,House Committee on Transportation,Kathy Haigh,,,
2001-02,House Committee on Transportation,Shirley Hankins,,1,
2001-02,House Committee on Transportation,Brian Hatfield,,,
2001-02,House Committee on Transportation,Jane'a Holmquist,,,
2001-02,House Committee on Transportation,Brock Jackley,,,
2001-02,House Committee on Transportation,Fred Jarrett,,,
2001-02,House Committee on Transportation,Tom Mielke,,,
2001-02,House Committee on Transportation,Dave Morell,,,
2001-02,House Committee on Transportation,Ed Murray,,,
2001-02,House Committee on Transportation,Val Ogden,,,
2001-02,House Committee on Transportation,Aaron Reardon,,,
2001-02,House Committee on Transportation,Phil Rockefeller,,,
2001-02,House Committee on Transportation,Sandra Romero,,,
2001-02,House Committee on Transportation,Lynn Schindler,,,
2001-02,House Committee on Transportation,Geoff Simpson,,,
2001-02,House Committee on Transportation,Brian Sullivan,,,
2001-02,House Committee on Transportation,Alex Wood,,,
2001-02,House Committee on Transportation,Beverly Woods,,,
2001-02,Senate Committee on Agriculture & International Trade,Marilyn Rasmussen,1,,
2001-02,Senate Committee on Agriculture & International Trade,Paull Shin,,1,
2001-02,Senate Committee on Agriculture & International Trade,Dan Swecker,,,
2001-02,Senate Committee on Agriculture & International Trade,Linda Evans Parlette,,,
2001-02,Senate Committee on Agriculture & International Trade,Larry Sheahan,,,
2001-02,Senate Committee on Agriculture & International Trade,Sid Snyder,,,
2001-02,Senate Committee on Agriculture & International Trade,Harriet Spanel,,,
2001-02,Senate Committee on Economic Development & Telecommunications,Tim Sheldon,1,,
2001-02,Senate Committee on Economic Development & Telecommunications,Betti Sheldon,,1,
2001-02,Senate Committee on Economic Development & Telecommunications,Val Stevens,,,
2001-02,Senate Committee on Economic Development & Telecommunications,Lisa Brown,,,
2001-02,Senate Committee on Economic Development & Telecommunications,Darlene Fairley,,,
2001-02,Senate Committee on Economic Development & Telecommunications,Bill Finkbeiner,,,
2001-02,Senate Committee on Economic Development & Telecommunications,Mary Margaret Haugen,,,
2001-02,Senate Committee on Economic Development & Telecommunications,Bob McCaslin,,,
2001-02,Senate Committee on Economic Development & Telecommunications,Dino Rossi,,,
2001-02,Senate Committee on Education,Stephen Johnson,,,
2001-02,Senate Committee on Education,Rosemary McAuliffe,1,,
2001-02,Senate Committee on Education,Tracey Eide,,1,
2001-02,Senate Committee on Education,Don Carlson,,,
2001-02,Senate Committee on Education,Bill Finkbeiner,,,
2001-02,Senate Committee on Education,Mike Hewitt,,,
2001-02,Senate Committee on Education,Harold Hochstatter,,,
2001-02,Senate Committee on Education,Jim Kastama,,,
2001-02,Senate Committee on Education,Jeanne Kohl-Welles,,,
2001-02,Senate Committee on Education,Margarita Prentice,,,
2001-02,Senate Committee on Education,Marilyn Rasmussen,,,
2001-02,Senate Committee on Education,Debbie Regala,,,
2001-02,Senate Committee on Education,Joseph Zarelli,,,
2001-02,"Senate Committee on Environment, Energy & Water",Karen Fraser,1,,
2001-02,"Senate Committee on Environment, Energy & Water",Debbie Regala,,1,
2001-02,"Senate Committee on Environment, Energy & Water",Bob Morton,,,
2001-02,"Senate Committee on Environment, Energy & Water",Tracey Eide,,,
2001-02,"Senate Committee on Environment, Energy & Water",Patricia Hale,,,
2001-02,"Senate Committee on Environment, Energy & Water",Jim Honeyford,,,
2001-02,"Senate Committee on Environment, Energy & Water",Ken Jacobsen,,,
2001-02,"Senate Committee on Environment, Energy & Water",Karen Keiser,,,
2001-02,"Senate Committee on Environment, Energy & Water",Dan McDonald,,,
2001-02,"Senate Committee on Environment, Energy & Water",Julia Patterson,,,
2001-02,Senate Committee on Health & Long-Term Care,Pat Thibaudeau,1,,
2001-02,Senate Committee on Health & Long-Term Care,Rosa Franklin,,1,
2001-02,Senate Committee on Health & Long-Term Care,Alex Deccio,,,
2001-02,Senate Committee on Health & Long-Term Care,"Jeralita ""Jeri"" Costa",,,
2001-02,Senate Committee on Health & Long-Term Care,Karen Fraser,,,
2001-02,Senate Committee on Health & Long-Term Care,Linda Evans Parlette,,,
2001-02,Senate Committee on Health & Long-Term Care,Shirley Winsley,,,
2001-02,Senate Committee on Higher Education,Jeanne Kohl-Welles,1,,
2001-02,Senate Committee on Higher Education,Paull Shin,,1,
2001-02,Senate Committee on Higher Education,Jim Horn,,,
2001-02,Senate Committee on Higher Education,Don Carlson,,,
2001-02,Senate Committee on Higher Education,Ken Jacobsen,,,
2001-02,Senate Committee on Higher Education,Rosemary McAuliffe,,,
2001-02,Senate Committee on Higher Education,Linda Evans Parlette,,,
2001-02,Senate Committee on Higher Education,Larry Sheahan,,,
2001-02,Senate Committee on Higher Education,Betti Sheldon,,,
2001-02,Senate Committee on Higher Education,Dan Swecker,,,
2001-02,Senate Committee on Human Services & Corrections,James Hargrove,1,,
2001-02,Senate Committee on Human Services & Corrections,"Jeralita ""Jeri"" Costa",,1,
2001-02,Senate Committee on Human Services & Corrections,Jeanine Long,,,
2001-02,Senate Committee on Human Services & Corrections,Don Carlson,,,
2001-02,Senate Committee on Human Services & Corrections,Rosa Franklin,,,
2001-02,Senate Committee on Human Services & Corrections,Mike Hewitt,,,
2001-02,Senate Committee on Human Services & Corrections,Jim Kastama,,,
2001-02,Senate Committee on Human Services & Corrections,Jeanne Kohl-Welles,,,
2001-02,Senate Committee on Human Services & Corrections,Val Stevens,,,
2001-02,Senate Committee on Judiciary,Adam Kline,1,,
2001-02,Senate Committee on Judiciary,Dow Constantine,,1,
2001-02,Senate Committee on Judiciary,Jim Kastama,,,
2001-02,Senate Committee on Judiciary,Bob McCaslin,,,
2001-02,Senate Committee on Judiciary,"Jeralita ""Jeri"" Costa",,,
2001-02,Senate Committee on Judiciary,James Hargrove,,,
2001-02,Senate Committee on Judiciary,Stephen Johnson,,,
2001-02,Senate Committee on Judiciary,Jeanine Long,,,
2001-02,Senate Committee on Judiciary,Erik Poulsen,,,
2001-02,Senate Committee on Judiciary,Pam Roach,,,
2001-02,Senate Committee on Judiciary,Pat Thibaudeau,,,
2001-02,Senate Committee on Judiciary,Joseph Zarelli,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Margarita Prentice,1,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Karen Keiser,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Shirley Winsley,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Don Benton,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Alex Deccio,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Darlene Fairley,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Rosa Franklin,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Georgia Gardner,,1,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Harold Hochstatter,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Jim Honeyford,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Julia Patterson,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Marilyn Rasmussen,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",Debbie Regala,,,
2001-02,"Senate Committee on Labor, Commerce & Financial Institutions",James West,,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Ken Jacobsen,1,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Erik Poulsen,,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Bob Oke,,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Dow Constantine,,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",James Hargrove,,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Dan McDonald,,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Bob Morton,,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Sid Snyder,,,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Harriet Spanel,,1,
2001-02,"Senate Committee on Natural Resources, Parks & Shorelines",Val Stevens,,,
2001-02,Senate Committee on Rules,Brad Owen,1,,
2001-02,Senate Committee on Rules,Rosa Franklin,,1,
2001-02,Senate Committee on Rules,Larry Sheahan,,,
2001-02,Senate Committee on Rules,Dow Constantine,,,
2001-02,Senate Committee on Rules,"Jeralita ""Jeri"" Costa",,,
2001-02,Senate Committee on Rules,Alex Deccio,,,
2001-02,Senate Committee on Rules,Tracey Eide,,,
2001-02,Senate Committee on Rules,Georgia Gardner,,,
2001-02,Senate Committee on Rules,Patricia Hale,,,
2001-02,Senate Committee on Rules,Harold Hochstatter,,,
2001-02,Senate Committee on Rules,Jim Horn,,,
2001-02,Senate Committee on Rules,Stephen Johnson,,,
2001-02,Senate Committee on Rules,Jim Kastama,,,
2001-02,Senate Committee on Rules,Erik Poulsen,,,
2001-02,Senate Committee on Rules,Betti Sheldon,,,
2001-02,Senate Committee on Rules,Paull Shin,,,
2001-02,Senate Committee on Rules,Sid Snyder,,,
2001-02,Senate Committee on Rules,Harriet Spanel,,,
2001-02,Senate Committee on Rules,James West,,,
2001-02,Senate Committee on State & Local Government,Georgia Gardner,,,
2001-02,Senate Committee on State & Local Government,Julia Patterson,1,,
2001-02,Senate Committee on State & Local Government,Darlene Fairley,,1,
2001-02,Senate Committee on State & Local Government,Pam Roach,,,
2001-02,Senate Committee on State & Local Government,Patricia Hale,,,
2001-02,Senate Committee on State & Local Government,Mary Margaret Haugen,,,
2001-02,Senate Committee on State & Local Government,Jim Horn,,,
2001-02,Senate Committee on State & Local Government,Karen Keiser,,,
2001-02,Senate Committee on State & Local Government,Adam Kline,,,
2001-02,Senate Committee on State & Local Government,Bob McCaslin,,,
2001-02,Senate Committee on State & Local Government,Tim Sheldon,,,
2001-02,Senate Committee on State & Local Government,Dan Swecker,,,
2001-02,Senate Committee on Transportation,Mary Margaret Haugen,1,,
2001-02,Senate Committee on Transportation,Georgia Gardner,,1,
2001-02,Senate Committee on Transportation,Don Benton,,,
2001-02,Senate Committee on Transportation,Tracey Eide,,,
2001-02,Senate Committee on Transportation,Bill Finkbeiner,,,
2001-02,Senate Committee on Transportation,Patricia Hale,,,
2001-02,Senate Committee on Transportation,Jim Horn,,,
2001-02,Senate Committee on Transportation,Ken Jacobsen,,,
2001-02,Senate Committee on Transportation,Stephen Johnson,,,
2001-02,Senate Committee on Transportation,Jim Kastama,,,
2001-02,Senate Committee on Transportation,Karen Keiser,,,
2001-02,Senate Committee on Transportation,Rosemary McAuliffe,,,
2001-02,Senate Committee on Transportation,Dan McDonald,,,
2001-02,Senate Committee on Transportation,Bob Oke,,,
2001-02,Senate Committee on Transportation,Julia Patterson,,,
2001-02,Senate Committee on Transportation,Margarita Prentice,,,
2001-02,Senate Committee on Transportation,Paull Shin,,,
2001-02,Senate Committee on Transportation,Dan Swecker,,,
2001-02,Senate Committee on Ways & Means,Lisa Brown,1,,
2001-02,Senate Committee on Ways & Means,Dow Constantine,,1,
2001-02,Senate Committee on Ways & Means,Debbie Regala,,,
2001-02,Senate Committee on Ways & Means,Darlene Fairley,,1,
2001-02,Senate Committee on Ways & Means,Dino Rossi,,,
2001-02,Senate Committee on Ways & Means,Karen Fraser,,,
2001-02,Senate Committee on Ways & Means,Mike Hewitt,,,
2001-02,Senate Committee on Ways & Means,Jim Honeyford,,,
2001-02,Senate Committee on Ways & Means,Adam Kline,,,
2001-02,Senate Committee on Ways & Means,Jeanne Kohl-Welles,,,
2001-02,Senate Committee on Ways & Means,Jeanine Long,,,
2001-02,Senate Committee on Ways & Means,Linda Evans Parlette,,,
2001-02,Senate Committee on Ways & Means,Marilyn Rasmussen,,,
2001-02,Senate Committee on Ways & Means,Pam Roach,,,
2001-02,Senate Committee on Ways & Means,Larry Sheahan,,,
2001-02,Senate Committee on Ways & Means,Betti Sheldon,,,
2001-02,Senate Committee on Ways & Means,Sid Snyder,,,
2001-02,Senate Committee on Ways & Means,Harriet Spanel,,,
2001-02,Senate Committee on Ways & Means,Pat Thibaudeau,,,
2001-02,Senate Committee on Ways & Means,Shirley Winsley,,,
2001-02,Senate Committee on Ways & Means,Joseph Zarelli,,,
2003-04,House Committee on Agriculture & Natural Resources,Kelli Linville,1,,
2003-04,House Committee on Agriculture & Natural Resources,Phil Rockefeller,,1,
2003-04,House Committee on Agriculture & Natural Resources,Mark Schoesler,,,
2003-04,House Committee on Agriculture & Natural Resources,Jan_a Holmquist,,,
2003-04,House Committee on Agriculture & Natural Resources,Dan Kristiansen,,,
2003-04,House Committee on Agriculture & Natural Resources,Bruce Chandler,,,
2003-04,House Committee on Agriculture & Natural Resources,"William ""Ike"" Eickmeyer",,,
