"","Biennium","BillId","BillNumber"
"174","2017-18","HB 1129","1129"
"175","2017-18","SHB 1129","1129"
"176","2017-18","HB 1130","1130"
"177","2017-18","SHB 1130","1130"
"178","2017-18","HB 1131","1131"
"179","2017-18","HB 1132","1132"
"180","2017-18","HB 1133","1133"
"181","2017-18","HB 1134","1134"
"182","2017-18","HB 1135","1135"
"183","2017-18","HB 1136","1136"
"184","2017-18","ESHB 1136","1136"
"185","2017-18","HB 1137","1137"
"186","2017-18","HB 1138","1138"
"187","2017-18","HB 1139","1139"
"188","2017-18","HB 1140","1140"
"189","2017-18","HB 1141","1141"
"190","2017-18","HB 1142","1142"
"191","2017-18","HB 1143","1143"
"192","2017-18","HB 1144","1144"
"193","2017-18","SHB 1144","1144"
"194","2017-18","2SHB 1144","1144"
"195","2017-18","HB 1145","1145"
"196","2017-18","HB 1146","1146"
"197","2017-18","HB 1147","1147"
"198","2017-18","SHB 1147","1147"
"199","2017-18","HB 1148","1148"
"200","2017-18","HB 1149","1149"
"201","2017-18","SHB 1149","1149"
"202","2017-18","HB 1150","1150"
"203","2017-18","HB 1151","1151"
"204","2017-18","HB 1152","1152"
"205","2017-18","SHB 1152","1152"
"206","2017-18","HB 1153","1153"
"207","2017-18","ESHB 1153","1153"
"208","2017-18","HB 1154","1154"
"209","2017-18","HB 1155","1155"
"210","2017-18","ESHB 1155","1155"
"211","2017-18","HB 1156","1156"
"212","2017-18","HB 1157","1157"
"213","2017-18","HB 1158","1158"
"214","2017-18","HB 1159","1159"
"215","2017-18","HB 1160","1160"
"216","2017-18","SHB 1160","1160"
"217","2017-18","HB 1161","1161"
"218","2017-18","HB 1162","1162"
"219","2017-18","HB 1163","1163"
"220","2017-18","SHB 1163","1163"
"221","2017-18","E2SHB 1163","1163"
"222","2017-18","HB 1164","1164"
"223","2017-18","HB 1165","1165"
"224","2017-18","HB 1166","1166"
"225","2017-18","HB 1167","1167"
"226","2017-18","HB 1168","1168"
"227","2017-18","SHB 1168","1168"
"228","2017-18","2SHB 1168","1168"
"229","2017-18","HB 1169","1169"
"230","2017-18","SHB 1169","1169"
"231","2017-18","2SHB 1169","1169"
"232","2017-18","HB 1170","1170"
"233","2017-18","SHB 1170","1170"
"234","2017-18","2SHB 1170","1170"
"235","2017-18","HB 1171","1171"
"236","2017-18","SHB 1171","1171"
"237","2017-18","HB 1172","1172"
"238","2017-18","SHB 1172","1172"
"239","2017-18","HB 1173","1173"
"240","2017-18","HB 1174","1174"
"241","2017-18","HB 1175","1175"
"242","2017-18","SHB 1175","1175"
"243","2017-18","HB 1176","1176"
"244","2017-18","SHB 1176","1176"
"245","2017-18","HB 1177","1177"
"246","2017-18","HB 1178","1178"
"247","2017-18","HB 1179","1179"
"248","2017-18","HB 1180","1180"
"249","2017-18","HB 1181","1181"
"250","2017-18","HB 1182","1182"
"251","2017-18","HB 1183","1183"
"252","2017-18","SHB 1183","1183"
"253","2017-18","HB 1184","1184"
"254","2017-18","SHB 1184","1184"
"255","2017-18","HB 1185","1185"
"256","2017-18","HB 1186","1186"
"257","2017-18","SHB 1186","1186"
"258","2017-18","HB 1187","1187"
"259","2017-18","EHB 1188","1188"
"260","2017-18","HB 1189","1189"
"261","2017-18","SHB 1189","1189"
"262","2017-18","HB 1190","1190"
"263","2017-18","HB 1191","1191"
"264","2017-18","HB 1192","1192"
"265","2017-18","HB 1193","1193"
"266","2017-18","HB 1194","1194"
"267","2017-18","ESHB 1194","1194"
"268","2017-18","HB 1195","1195"
"269","2017-18","HB 1196","1196"
"270","2017-18","ESHB 1196","1196"
"271","2017-18","HB 1197","1197"
"272","2017-18","HB 1198","1198"
"273","2017-18","HB 1199","1199"
"274","2017-18","SHB 1199","1199"
"275","2017-18","HB 1200","1200"
"276","2017-18","SHB 1200","1200"
"277","2017-18","EHB 1201","1201"
"278","2017-18","HB 1202","1202"
"279","2017-18","HB 1203","1203"
"280","2017-18","HB 1204","1204"
"281","2017-18","HB 1205","1205"
"282","2017-18","HB 1206","1206"
"283","2017-18","HB 1207","1207"
"284","2017-18","HB 1208","1208"
"285","2017-18","HB 1209","1209"
